step,vx_cmd,vx_actual,LF,RF,LH,RH,roll,pitch
374,0.8,-0.11413948835408584,0,1,1,0,-0.009436396843550948,-0.0038764728086657777
375,0.8,-0.23918247679552038,1,1,1,0,-0.0204652918592021,-0.0031214505493011194
376,0.8,-0.2737937805787004,1,1,1,0,-0.022575998660056457,-0.00498504754146667
377,0.8,-0.24144336370810673,1,1,1,0,-0.01498948562747832,-0.011257228354723712
378,0.8,-0.19506791124434858,0,0,1,0,-0.00827845072599306,-0.02174180459206371
379,0.8,-0.2224566627746667,0,0,1,0,-0.005068281563441583,-0.029812867659815136
380,0.8,-0.20970334830767332,0,0,1,0,-0.0033965724842668706,-0.03366277541327987
381,0.8,-0.20991053582491326,0,0,1,0,-0.002819925348429202,-0.03716209361384353
382,0.8,-0.20363176700905938,0,0,1,0,-0.0032325186806012075,-0.0402619292552307
383,0.8,-0.17343177040100802,0,0,1,0,-0.00688635590880803,-0.046732189535658525
384,0.8,-0.16022207439390476,0,0,1,0,-0.014543090148341452,-0.0546537113447641
385,0.8,-0.15932561236991696,0,0,1,0,-0.024728932743076144,-0.06003425782261789
386,0.8,-0.14660097367101352,0,0,1,1,-0.03292841282321226,-0.061911415843162815
387,0.8,-0.08093046223056484,0,1,1,1,-0.0386481318947297,-0.0664226055897314
388,0.8,-0.096500275141204,0,1,1,1,-0.042256855750464915,-0.0706284168749084
389,0.8,-0.03112880142792354,0,1,1,1,-0.04476372139823278,-0.07381709291511332
390,0.8,-0.0017341558742344303,0,0,0,1,-0.04377849587454962,-0.08329492681409222
391,0.8,0.022651946445472335,0,0,0,1,-0.04001622987234115,-0.0944557664386207
392,0.8,0.051460793729793064,0,0,0,1,-0.03448134856577385,-0.10795337668602183
393,0.8,0.05564827129205262,0,0,0,1,-0.024240539094489373,-0.11881584244822838
394,0.8,0.06759717471385679,0,0,0,1,-0.009781261282706614,-0.12493382165123361
395,0.8,0.08112462631218298,0,0,0,1,0.0046238830057538675,-0.12667770208374737
396,0.8,0.11116899558700734,0,0,0,1,0.017054263516386406,-0.1257270872177883
397,0.8,0.13629724562156198,0,0,0,1,0.02681627080947913,-0.12293320567692868
398,0.8,0.14597046763729735,0,0,0,1,0.03369076143309506,-0.1175730085331353
399,0.8,0.16348386020719682,0,0,0,1,0.03936949619548948,-0.11156235311659318
400,0.8,0.16770752895667915,0,0,0,1,0.04516768931230986,-0.10480284273747076
401,0.5,0.1835540672979373,0,0,0,1,0.05284473549006155,-0.09797085498077604
402,0.5,0.1850357820948008,0,0,0,1,0.06201985401835879,-0.09126985401794394
403,0.5,0.11575570424948776,0,0,1,1,0.07060025951848195,-0.07995488791011603
404,0.5,0.14744703260179062,0,0,1,1,0.0729348229359006,-0.05585075503414785
405,0.5,0.20127494336684199,0,0,1,1,0.07415725821380927,-0.030924716964321718
406,0.5,0.26560168484075425,0,0,1,1,0.0746975215291056,-0.007666019027699167
407,0.5,0.32343175117679135,0,0,1,1,0.07545225194132935,0.013671125489971578
408,0.5,0.3658428979718295,0,1,1,0,0.07604443250915757,0.032970506915243794
409,0.5,0.3922941971055414,0,1,1,0,0.08349602583272708,0.044843169230117476
410,0.5,0.43260201534872633,0,1,1,0,0.09326652778435189,0.04911616192893814
411,0.5,0.45548646674292687,0,1,1,0,0.10393016710244485,0.049589624144178085
412,0.5,0.469370610479871,0,1,1,0,0.1136838908803858,0.04982994040494851
413,0.5,0.4959471198242343,0,1,1,0,0.12204697074328287,0.04959018267532413
414,0.5,0.49588880803041807,0,1,1,0,0.12850444573422873,0.04874564873755816
415,0.5,0.5184158598018845,0,1,1,0,0.13292311379221503,0.04752666150223087
416,0.5,0.576386623243695,0,1,1,0,0.13345621002252278,0.04347588228526391
417,0.5,0.5695381775446208,0,1,1,0,0.1298786671173105,0.041217775002291054
418,0.5,0.581741662956714,0,1,1,0,0.12400287211360728,0.04130833549395116
419,0.5,0.6050959262131964,0,1,1,0,0.119453571209923,0.04144895322161329
420,0.5,0.660214889283556,0,1,1,0,0.11665454438751355,0.0414340993242033
421,0.5,0.6823248513644897,0,1,1,0,0.11600954269519988,0.042750093603439114
422,0.5,0.7179177704811063,0,1,1,0,0.11399922249739278,0.04620405195027233
423,0.5,0.7733609307602538,0,1,1,0,0.1121451919071642,0.04956480434651501
424,0.5,0.750109743083712,1,0,1,0,0.10355721545501054,0.05072462486058819
425,0.5,0.71681233614604,1,0,1,0,0.08828487080705041,0.04701278516362968
426,0.5,0.7208956829902573,1,0,1,0,0.07243840418838679,0.04089305865423856
427,0.5,0.7077554065998336,1,0,1,0,0.06070346516492107,0.03136206723961168
428,0.5,0.7274695543833497,1,0,1,0,0.053263420883255246,0.020713551659579905
429,0.5,0.794650507859435,1,0,1,0,0.044786076414341444,0.006606729316573537
430,0.5,0.7700443857178793,1,0,1,0,0.03764791146184296,-0.004196282846792005
431,0.5,0.7689125729349972,1,0,1,0,0.031882419730912576,-0.011085825448337985
432,0.5,0.7529387972448531,1,0,0,0,0.02736259480748847,-0.02061079786285637
433,0.5,0.7601192416834296,1,0,0,0,0.022040211524628848,-0.032893106591567786
434,0.5,0.7765097644597675,1,0,0,1,0.016495262437254368,-0.04987866754109614
435,0.5,0.7261469147875502,1,0,0,1,0.01811115938161099,-0.06341648407643687
436,0.5,0.6571329913230369,1,0,0,1,0.02265629642699165,-0.07004967422766432
437,0.5,0.5741019951289676,1,0,0,1,0.024154818270256947,-0.06849869686950678
438,0.5,0.5421747970874295,1,0,0,1,0.02083466417474109,-0.06127732015831353
439,0.5,0.5649690979709677,1,0,0,1,0.009752158013982465,-0.05441189950379415
440,0.5,0.5529456999047995,1,0,0,1,-0.002423334754120058,-0.04733665500037027
441,0.5,0.504401736281617,1,0,0,1,-0.012415339050015958,-0.03630937924688656
442,0.5,0.5516555756099035,1,0,0,1,-0.02227949397247319,-0.026124707092549847
443,0.5,0.5775773836473549,1,0,0,1,-0.03197588484292405,-0.019926459533111233
444,0.5,0.5824383172002084,1,0,0,1,-0.04241618613779466,-0.010101531665364965
445,0.5,0.659197010773971,1,0,0,1,-0.05288505191918269,-0.00046551869335298304
446,0.5,0.6448366329471383,0,1,0,1,-0.05282432856571606,0.002498112230009327
447,0.5,0.6662273226496667,0,1,0,1,-0.04298138600029394,0.0007222232253223792
448,0.5,0.7046512426261972,0,1,1,1,-0.027946311381376227,-0.005745881715027897
449,0.5,0.6583242978226588,0,1,1,1,-0.019726095017024922,-0.006737835125583716
450,0.5,0.6863522407440167,0,1,1,1,-0.016343836508913367,-0.0037593402251402284
451,0.5,0.6674012488761187,0,1,1,1,-0.015540981062699865,-0.0018574331421821499
452,0.5,0.7149468527394052,0,1,1,1,-0.015698821280787437,-0.0017192534578164937
453,0.5,0.7151040476816671,0,1,1,1,-0.015960792580922024,-0.0050479219699944835
454,0.5,0.752596695501169,0,1,1,1,-0.016386696939910853,-0.009999366241948958
455,0.5,0.7454262833789937,0,1,1,1,-0.015408829908124068,-0.013458328519577324
456,0.5,0.728691969290973,0,1,1,0,-0.01613210222366398,-0.013509768507796243
457,0.5,0.736049011322753,0,1,1,0,-0.018533212257389523,-0.015350975138083436
458,0.5,0.7244395200768843,0,1,1,0,-0.02300816776136375,-0.017977840865577806
459,0.5,0.7341122973027492,0,1,1,0,-0.027946150627898958,-0.021396334955667225
460,0.5,0.7211432066056147,0,1,1,0,-0.031862054890432874,-0.023933722627612203
461,0.5,0.7116207216640587,0,1,1,0,-0.03422304671628626,-0.02250974553458098
462,0.5,0.7264309778739306,0,1,1,0,-0.03124256771017734,-0.018224059594734263
463,0.5,0.7569094300253246,0,1,1,0,-0.023832538843633237,-0.012660208860760658
464,0.5,0.7561338748164045,0,0,1,0,-0.018539283389168392,-0.0036211686165584776
465,0.5,0.7963840049269356,0,0,1,0,-0.017481320328521403,0.0077140256264293244
466,0.5,0.8162508793726952,0,0,1,0,-0.019372298693814037,0.019987123070630913
467,0.5,0.8473273365645172,0,0,1,0,-0.021127313840919686,0.03400582506904656
468,0.5,0.8130582305599557,1,0,1,0,-0.030480758996339233,0.04518460584970965
469,0.5,0.7589974549360564,1,0,1,0,-0.05041200994947147,0.04640068970144918
470,0.5,0.7373766763606082,1,0,1,1,-0.07389842770186004,0.03951273550828407
471,0.5,0.6636074958890948,1,0,1,1,-0.08074020521599777,0.04112651871249249
472,0.5,0.6633915931781018,1,0,0,1,-0.08104148112804624,0.042086543856912226
473,0.5,0.6473274162224231,1,0,0,1,-0.08011568399003602,0.03494739884765768
474,0.5,0.6374879197768549,1,0,0,1,-0.07767697318591205,0.025105783918078977
475,0.5,0.6134581098576967,1,0,0,1,-0.07588941948497291,0.018239395609775014
476,0.5,0.6227637102286319,1,0,0,1,-0.07616938902435476,0.013793391167616872
477,0.5,0.6195418935353307,1,0,0,1,-0.07591963492063097,0.011047045026191027
478,0.5,0.6187061066790419,1,0,0,1,-0.07233680781314962,0.009648079968444738
479,0.5,0.6387428772379677,1,0,0,1,-0.06864313382659125,0.009054394417771356
480,0.5,0.6550209134792141,1,0,0,1,-0.0666826921039082,0.00989562906289094
481,0.5,0.6538636737905039,1,0,0,1,-0.06343727148871753,0.01187618795031562
482,0.5,0.6593501207380913,1,0,0,1,-0.06180375907726366,0.016000351881190564
483,0.5,0.6758384536408393,1,0,0,1,-0.05997265180390201,0.020765884330650852
484,0.5,0.6809615745317701,1,0,0,1,-0.05838384074641332,0.02682602502679667
485,0.5,0.7358281898645292,1,0,0,1,-0.0576513827440699,0.03153835159500707
486,0.5,0.6743726491814459,1,1,0,1,-0.049229510422930514,0.03138006138555413
487,0.5,0.6730154091033511,1,1,0,1,-0.039037761288311754,0.02675494652378577
488,0.5,0.6665863439006802,0,1,0,1,-0.02606601787474715,0.01847976524820895
489,0.5,0.6934693431469522,0,1,0,1,-0.007815965405679876,0.007578413089283638
490,0.5,0.6581079289074838,0,1,1,1,0.00739620192183127,0.002910560648114556
491,0.5,0.62885391825177,0,1,1,1,0.015523605646613588,0.004713156362636033
492,0.5,0.6341420916530041,0,1,1,1,0.020522143903263942,0.006269515028928646
493,0.5,0.6395782787042688,0,1,1,0,0.023489399240941507,0.005937882948146949
494,0.5,0.6563021821528745,0,1,1,0,0.022896251040074877,0.0029724349793656514
495,0.5,0.6402049501696181,0,1,1,0,0.0191904288655142,-0.0014320067857171016
496,0.5,0.6436211540506185,0,1,1,0,0.014199240875757184,-0.006294457244164213
497,0.5,0.6225471389796609,0,1,1,0,0.008517599573011946,-0.010436136875789872
498,0.5,0.5923147155937376,0,1,1,0,0.005162136118252271,-0.011112611186545726
499,0.5,0.5931608624882995,0,1,1,0,0.007226096082954707,-0.008734946143640347
500,0.5,0.6184320732434904,0,1,1,0,0.01385780219805301,-0.006342220847446533
501,0.5,0.6146221415134431,0,1,1,0,0.021036226892472528,-0.0026886655555163003
502,0.5,0.6272201060948596,0,1,1,0,0.02690983929550095,0.0035196312756663227
503,0.5,0.6478145729955208,0,1,1,0,0.03153698985559332,0.009963565675590392
504,0.5,0.6551063836865899,0,1,1,0,0.035066314039693736,0.01697472432170148
505,0.5,0.6869082401184821,0,1,1,0,0.037708183414324574,0.023486101951744956
506,0.5,0.7028483725206526,0,1,1,0,0.03999810537939669,0.029159517892448267
507,0.5,0.7298270619715594,0,0,1,0,0.03759085592096539,0.035581915189110296
508,0.5,0.8003036994300695,1,0,1,0,0.03242178721500016,0.042466798922730406
509,0.5,0.7752600217144577,1,0,1,0,0.015996884443601568,0.04508638356443515
510,0.5,0.7635959673198026,1,0,1,0,-0.005940536848799338,0.04156692385204867
511,0.5,0.7639451311941975,1,0,1,1,-0.02808365016431106,0.033974704029418004
512,0.5,0.6996926697093251,1,0,1,1,-0.03503433947186162,0.032519611366337575
513,0.5,0.728503642365513,1,0,0,1,-0.03579322795499121,0.02860743217513588
514,0.5,0.7042072796604936,1,0,0,1,-0.03563225006040582,0.015405674781862031
515,0.5,0.6896523501618681,1,0,0,1,-0.03351137555206412,0.001409640067276255
516,0.5,0.6668409499691188,1,0,0,1,-0.03067308815993358,-0.009669087190068796
517,0.5,0.6453024248180314,1,0,0,1,-0.02866014923152537,-0.015988295912245185
518,0.5,0.6228746391598274,1,0,0,1,-0.029455165434117598,-0.016625440089378885
519,0.5,0.6300633250305921,1,0,0,1,-0.03233092497181774,-0.01401567989700367
520,0.5,0.6199113158076606,1,0,0,1,-0.031688568112686236,-0.011585321248657644
521,0.5,0.6468116512579315,1,0,0,1,-0.03180226133396336,-0.00902517288355416
522,0.5,0.6478188945906179,1,0,0,1,-0.032921670373087165,-0.006509376250105224
523,0.5,0.6555154222472437,1,0,0,1,-0.03344438074426319,-0.0030825866070730455
524,0.5,0.648800453299164,1,0,0,1,-0.03515964790788924,0.003065725342831116
525,0.5,0.678062190397734,1,0,0,1,-0.03714014240301493,0.009510248595859604
526,0.5,0.7009802498312966,1,0,0,1,-0.039797342807565944,0.015905717375300124
527,0.5,0.7109629915863558,1,1,0,1,-0.0394848604171061,0.02079100766607335
528,0.5,0.6866761029135594,1,1,0,1,-0.033780764332271014,0.01864897997208927
529,0.5,0.7008686346421021,0,1,0,1,-0.0262453442404959,0.011395947219792575
530,0.5,0.7182568190329521,0,1,1,1,-0.012979984827176277,0.0019818249552858093
531,0.5,0.7095600031352617,0,1,1,1,-0.0026377853765304255,-0.0005961705578821862
532,0.5,0.6919382585557763,0,1,1,1,0.005276446411717766,0.0015566742005297808
533,0.5,0.7301558401926539,0,1,1,1,0.010038260159340683,0.004469268393504533
534,0.5,0.7265837281609852,0,1,1,0,0.01227538219460212,0.005213510044702755
535,0.5,0.7023972050387562,0,1,1,0,0.010396988705384705,0.005094326055614245
536,0.5,0.6898408170067665,0,1,1,0,0.006063163850767046,0.003133706196844404
537,0.5,0.6751391828491005,0,1,1,0,-0.00012130739951509749,-0.0012804527409267562
538,0.5,0.6667948539074942,0,1,1,0,-0.003934440117379821,-0.006057747215636156
539,0.5,0.6517137933619485,0,1,1,0,-0.0031466136473692202,-0.009232436459299382
540,0.5,0.644126280997984,0,1,1,0,0.0011557476357645722,-0.010706077982556617
541,0.5,0.6432671122718732,0,1,1,0,0.007818565989800711,-0.009955575335401224
542,0.5,0.652208202515769,0,1,1,0,0.012775197752067377,-0.00769092276072186
543,0.5,0.6615585719730411,0,1,1,0,0.016462469377652104,-0.0038050437561519433
544,0.5,0.661698952599075,0,1,1,0,0.020007535314466834,0.0015020681206468361
545,0.5,0.6978951932583484,0,1,1,0,0.021385890262609477,0.005211133520379642
546,0.5,0.710611122991091,0,1,1,0,0.02186891789399148,0.007267074842526046
547,0.5,0.7416202418416288,0,1,1,0,0.021134131962876362,0.008496716527391647
548,0.5,0.7809184995472275,0,1,1,0,0.021281559157916838,0.009025480408573858
549,0.5,0.8375554589141148,0,0,1,0,0.01946919620661939,0.009440706950943904
550,0.5,0.8188239143029009,1,0,1,0,0.007860306223417256,0.01159887962804097
551,0.5,0.8193142999489849,1,0,1,1,-0.009885315993945848,0.012073945165018847
552,0.5,0.7857017341301975,1,0,1,1,-0.019559404593278425,0.016939418873074912
553,0.5,0.7816106490000643,1,0,0,1,-0.023084264623595304,0.017268392593918748
554,0.5,0.7544914945039107,1,0,0,1,-0.021346766712210797,0.011528582222968828
555,0.5,0.6920563789015092,1,0,0,1,-0.01529900323795487,0.008523128146916446
556,0.5,0.677411605436497,1,0,0,1,-0.01016882477716383,0.005753407335170658
557,0.5,0.6688211061845609,1,0,0,1,-0.0102267618512249,-0.0004284539718708363
558,0.5,0.663911649962435,1,0,0,1,-0.013764590192521756,-0.006418456763956091
559,0.5,0.6694440171218801,1,0,0,1,-0.016583556804967366,-0.012038838513273536
560,0.5,0.662609203218887,1,0,0,1,-0.015993105552296757,-0.017027795269740038
561,0.5,0.6659567516933003,1,0,0,1,-0.014534896922525572,-0.020028473234265532
562,0.5,0.6800125195523447,1,0,0,1,-0.0125660247461423,-0.02167699085490124
563,0.5,0.670291206397696,1,0,0,1,-0.01011024296167417,-0.022132292118339128
564,0.5,0.6658631547260131,1,0,0,1,-0.008694752520172749,-0.021273576917250597
565,0.5,0.6804049728995682,1,0,0,1,-0.007061149345613007,-0.020254272320162876
566,0.5,0.6856553710809088,1,0,0,1,-0.006089516110065386,-0.018389381568920674
567,0.5,0.7025225121028918,1,0,0,1,-0.003953949933206679,-0.01603878631678068
568,0.5,0.7146835342716575,1,0,0,1,-0.000231061473490693,-0.014021146841184136
569,0.5,0.7342006264872539,1,0,1,1,0.004704231297003097,-0.013420017371626179
570,0.5,0.716846800731771,1,1,1,1,0.00530110376207783,-0.009301230205380956
571,0.5,0.7360142025573231,0,1,1,1,0.007278670741785977,-0.004852004399684144
572,0.5,0.7877110452311844,0,1,1,1,0.015690681370723294,-0.003729504865349905
573,0.5,0.7942698525338178,0,1,1,1,0.02730585977361069,-0.0032766757109673
574,0.5,0.8193350982286939,0,1,1,1,0.03558491071596537,-0.0010806122688898606
575,0.5,0.8270927607511412,0,1,1,1,0.0393350918488235,0.002124063310101377
576,0.5,0.8631514158343828,0,1,1,1,0.040192489302594524,0.005053518637420444
577,0.5,0.8854451499204831,0,1,1,0,0.03919705589269583,0.00679897144082979
578,0.5,0.8448406768256732,0,1,1,0,0.03286587716605663,0.007726290038224226
579,0.5,0.8563706864685903,0,1,1,0,0.026021406112558584,0.005968802408390188
