step,vx_cmd,vx_actual,LF,RF,LH,RH,roll,pitch
243,0.6,-0.07347057287601419,1,1,0,1,0.020418467778106762,-0.013138427697260332
244,0.6,-0.17776119750490738,1,1,0,1,0.03634073574034979,-0.02339192587153575
245,0.6,-0.13637199677432243,1,1,0,1,0.040440175650697505,-0.03250544683380536
246,0.6,-0.10056689158049145,1,0,0,1,0.04164156640743142,-0.04519723498723012
247,0.6,-0.06495501932678807,0,0,0,1,0.04458558670566422,-0.055182011236609055
248,0.6,-0.053285393601980084,0,0,0,1,0.05009869582868414,-0.06258490863925913
249,0.6,-0.037921234214177174,0,0,0,1,0.05799854630856878,-0.06818881971563297
250,0.6,-0.03703238203112427,0,0,0,1,0.06829074544621094,-0.07121684518655841
251,0.6,-0.00044943967022835436,0,0,0,1,0.0790360196502382,-0.07380495013488127
252,0.6,-0.08509500709820299,0,0,1,0,0.08638123145029082,-0.07496481226688605
253,0.6,-0.10415700764585666,0,0,1,0,0.07910758075598733,-0.0597268138832766
254,0.6,-0.09646652492164892,0,0,1,0,0.06877341495772556,-0.04199194457993916
255,0.6,-0.07961412463583241,0,0,1,0,0.05568462620619235,-0.024866075456172414
256,0.6,-0.09183862783496545,0,0,1,0,0.04100149502902399,-0.00477986169072699
257,0.6,-0.12614014924473924,0,0,1,0,0.025366783895493045,0.022327516194089188
258,0.6,-0.1273481604124263,0,0,1,0,0.013077287516500022,0.05387567012590496
259,0.6,-0.09965504649390364,0,0,0,0,0.005638950361688535,0.08469249005098949
260,0.6,-0.09535545427429977,0,0,0,0,-0.0029907102493691292,0.11502762224941397
261,0.6,-0.12562280224176545,0,0,0,0,-0.011315908845504045,0.1480924699279078
262,0.6,-0.11821943713336225,0,0,0,0,-0.016540779918030525,0.18085975069235222
263,0.6,-0.1193945861994801,0,0,0,0,-0.019426025268287347,0.21224966743709386
264,0.6,-0.2034479116043617,1,0,0,0,-0.02498397048261226,0.23984019187985528
265,0.6,-0.25184152747634836,1,0,0,0,-0.03808460234285113,0.2557035346399619
266,0.6,-0.2862936009118675,1,0,0,0,-0.05770780489269719,0.2571806748172478
267,0.6,-0.326090601882367,1,0,0,1,-0.0766739124599914,0.24954477124667226
268,0.6,-0.3317365137884525,1,0,0,1,-0.08466153730601611,0.24047762236715253
269,0.6,-0.2914672168297072,1,0,0,1,-0.09442953627474941,0.22108767139862429
270,0.6,-0.2568106362407277,1,0,0,1,-0.10945853931419373,0.18866801784955325
271,0.6,-0.27403983559522643,1,0,0,1,-0.12062419365676429,0.15005870752982509
272,0.6,-0.2611568908109216,1,0,0,1,-0.1259352260018072,0.1106161679464398
273,0.6,-0.2178351501504491,1,0,1,1,-0.1285235808725413,0.07366047780430866
274,0.6,-0.21513656030182018,1,0,1,1,-0.1278831654745409,0.04512697841880754
275,0.6,-0.19728129683888881,0,0,1,1,-0.12286321065271985,0.023327921237608386
276,0.6,-0.17047717039456886,0,0,0,1,-0.11401978346479733,0.00334776915273538
277,0.6,-0.16040753021254373,0,0,0,1,-0.1012490395077598,-0.016933317194346223
278,0.6,-0.13110603950493038,0,0,1,1,-0.08681711183946265,-0.038566157468914494
279,0.6,-0.11155310407344052,0,0,1,1,-0.07786318635319814,-0.05904188513360765
280,0.6,-0.08662868370471909,0,0,1,1,-0.07339666528702454,-0.07673456222924495
281,0.6,-0.037454599001810536,0,0,1,1,-0.07055475845660662,-0.09465073389990845
282,0.6,0.003992336304969769,0,0,1,1,-0.06831770898556164,-0.1152002503672603
283,0.6,0.0405658321440126,0,0,1,1,-0.06460658524268666,-0.13730814493721774
284,0.6,0.05070636285421967,0,0,0,1,-0.06052482229256239,-0.1589032154411122
285,0.6,0.04283737131634557,0,0,0,0,-0.05695523346430518,-0.18003774973947195
286,0.6,0.023200821894554066,0,0,0,0,-0.0546648831015931,-0.2029133690577014
287,0.6,0.03160377912009427,0,0,0,0,-0.05326179285847734,-0.22690512310108793
288,0.6,0.05324815270855464,0,0,0,0,-0.05240827470233624,-0.25144026871626046
289,0.6,0.07057123874743099,0,0,0,0,-0.051011811259501924,-0.2739109482795785
290,0.6,0.06581539671338109,0,0,0,0,-0.04677350178698464,-0.2919955980964929
291,0.6,0.048668006108903615,0,0,0,0,-0.038967549762586505,-0.30444542156047455
292,0.6,0.03172117681312442,0,0,0,0,-0.02993031509496376,-0.31300763678231797
293,0.6,0.007323479669164131,0,0,0,0,-0.01978597641245178,-0.31865566691815334
294,0.6,-0.008562554714174808,0,0,0,0,-0.009946406037753834,-0.32359411941137156
295,0.6,-0.018097743599522126,0,0,0,0,-0.0020944629092478862,-0.32972181613831947
296,0.6,-0.022220699725039997,0,0,0,1,0.00485731986657826,-0.33777708246548954
297,0.6,-0.09330832230319289,0,0,0,1,0.01738307783583349,-0.3404325515472439
298,0.6,-0.10895886349809392,0,1,0,1,0.03488631248161553,-0.3398471991387848
299,0.6,-0.03355506957616632,0,0,0,1,0.06037268718259692,-0.33617568288913163
300,0.6,0.0026247468697664796,0,0,1,1,0.0836716192982748,-0.3221923524737098
301,0.6,0.01327870676580659,0,0,1,1,0.09483119553458684,-0.30431652221827366
302,0.6,0.05225710889563674,0,0,1,1,0.10245432890308089,-0.2834091508310419
303,0.6,0.04145993547971609,0,0,1,1,0.10893570343089115,-0.26110835062524634
304,0.6,0.011204220247320578,1,0,1,1,0.11348406612075683,-0.23527352440561722
305,0.6,-0.03919757733584492,1,0,1,1,0.11005001604985629,-0.2152024087450141
306,0.6,-0.03676571120003084,1,0,1,1,0.10634570416307007,-0.20325796454538705
307,0.6,-0.016568717538573068,1,0,1,1,0.1049209483840391,-0.19650824089178162
308,0.6,0.0029944342314377603,1,0,1,1,0.10250723672110024,-0.1915973728447321
309,0.6,0.03223836140083384,1,0,1,1,0.09688424160379966,-0.1868932311667212
310,0.6,0.07610359658597836,0,0,1,1,0.09057085332772885,-0.1834368110338643
311,0.6,0.1250562970960248,0,0,1,1,0.08464084771673584,-0.18323666778349815
312,0.6,0.15639225205794105,0,0,1,1,0.07826887360583813,-0.18600203029810414
313,0.6,0.18441807898219253,0,0,1,1,0.07111315245205618,-0.19097667707640423
314,0.6,0.2095751947331243,0,0,1,1,0.06380542964057416,-0.1980861582338021
