step,vx_cmd,vx_actual,LF,RF,LH,RH,roll,pitch
32,0.8,-0.1147410079075406,1,0,1,0,-0.029884259007676644,0.0027521681980646104
33,0.8,-0.17106349091992132,1,0,1,0,-0.05821742352652209,0.013736320010212065
34,0.8,-0.18958678322098346,1,0,0,0,-0.07577460675053607,0.02062705376560689
35,0.8,-0.19709882144693772,1,0,0,0,-0.08666583103545662,0.022214769235133075
36,0.8,-0.18896824785416685,1,0,0,0,-0.09599032488566772,0.019359635109379724
37,0.8,-0.16844049306153877,1,0,0,1,-0.10562019503775598,0.011819424752613824
38,0.8,-0.16790425941508633,0,0,0,1,-0.10995303390483287,0.005992539925341306
39,0.8,-0.1282615951996692,0,0,0,1,-0.1112977888861487,0.0012601289291032918
40,0.8,-0.09163066560334092,0,0,1,1,-0.11034227925670559,-0.006190728171925561
41,0.8,-0.06872917668598369,0,0,1,1,-0.10940101276590104,-0.014232726996407987
42,0.8,-0.04788454553091261,0,0,1,1,-0.1095773785511016,-0.021259291115673914
43,0.8,-0.006791016383804322,0,0,1,1,-0.10959390294324665,-0.028431205586375602
44,0.8,0.03307955067244865,0,0,1,1,-0.11014299604542062,-0.03608561905860076
45,0.8,0.05850948097018014,0,0,1,1,-0.11194130040771048,-0.04276502804342687
46,0.8,0.09835855376781374,0,0,1,1,-0.1139698675268002,-0.048231470090469075
47,0.8,0.13671315912824153,0,0,1,1,-0.11413964201345432,-0.05382861638557241
48,0.8,0.18332996247847402,0,0,1,1,-0.11260095546716678,-0.06092842215534642
49,0.8,0.30995435132839017,0,0,1,1,-0.1125830871058849,-0.07039994082140391
50,0.8,0.35413495558953856,0,0,0,1,-0.11003182160920681,-0.08314974939539876
51,0.8,0.3919308081635208,0,0,0,1,-0.10454279153231749,-0.09424113053113661
52,0.8,0.45464629379414423,0,0,0,1,-0.09398426969372464,-0.10630271250625492
53,0.8,0.47322941813010266,0,0,0,1,-0.07909645957036282,-0.11700625777827829
54,0.8,0.4814899959566497,0,0,0,1,-0.06502524257301792,-0.12274577551351556
55,0.8,0.5244432595805204,0,0,0,1,-0.055112419640839634,-0.12508929132207905
56,0.8,0.5775435239068312,0,0,0,1,-0.04962571433792221,-0.12731468218088624
57,0.8,0.6192969177909861,0,0,0,1,-0.04733712163854816,-0.13011455521596826
58,0.8,0.6468850494131249,0,0,0,1,-0.04752849526291086,-0.13300094085336828
59,0.8,0.661533800248852,0,0,0,0,-0.0530939787584632,-0.13890297975256333
60,0.8,0.6582380906088413,0,0,0,0,-0.06361462517334932,-0.14683222394801726
61,0.8,0.6103658818065818,0,0,0,0,-0.07731467995882552,-0.15251964778191582
62,0.8,0.6022191475614711,0,0,0,0,-0.08936768461621034,-0.15668468172651093
63,0.8,0.5940969674392405,0,0,0,0,-0.0964712784414235,-0.15873657947961328
64,0.8,0.6362697338074691,0,0,0,0,-0.09688109030212523,-0.16052362818036378
65,0.8,0.6612655901136726,0,0,0,0,-0.09485637749910963,-0.16097830479941663
66,0.8,0.6247876735784461,0,0,1,0,-0.09173745188583032,-0.1560917255931994
67,0.8,0.558923773330569,0,0,1,0,-0.09064743370291485,-0.13813270592028004
68,0.8,0.5571008660804779,0,0,1,0,-0.09051436326512474,-0.1152058390221686
69,0.8,0.5603212600368133,0,0,1,0,-0.09106694356003867,-0.09130359334514222
70,0.8,0.5670379333475977,1,0,1,0,-0.09194362366259075,-0.06747532201153562
71,0.8,0.48320250599464365,1,0,1,1,-0.09952980943061124,-0.04932627107997433
72,0.8,0.4555020246071253,1,0,1,1,-0.10101947515576352,-0.02761945485711217
73,0.8,0.4608043713467127,1,0,1,1,-0.10585629227212186,-0.01268456265862002
74,0.8,0.47524848128397995,1,0,1,1,-0.11228046586341474,-0.004171137825629526
75,0.8,0.498534654855926,1,0,1,1,-0.1178931293768692,-0.0008119288997169578
76,0.8,0.5161121184113364,1,0,1,1,-0.12099417231457449,-1.382588828790693e-05
77,0.8,0.5356420747122345,1,0,1,1,-0.11936532009545657,-0.00041000265862814006
78,0.8,0.5572962376576991,1,0,0,1,-0.1130416199890701,-0.0021548587862919868
79,0.8,0.6110885023041633,1,0,0,1,-0.1024115887366399,-0.006451791930272406
80,0.8,0.6342340839880494,1,0,0,1,-0.08624842878636559,-0.014774670665563691
81,0.8,0.6553944961309947,1,0,0,1,-0.06721850835870481,-0.02254567003921382
82,0.8,0.7151733669152689,1,0,0,1,-0.04744989274914867,-0.0314718663581153
83,0.8,0.7472275855967455,0,0,0,1,-0.027132424494088064,-0.04053379889960226
84,0.8,0.8050320677829166,0,0,0,1,-0.008854247403219937,-0.046262739343454214
85,0.8,0.8832470699916641,0,0,0,1,0.0059497421722205296,-0.048993654617000476
86,0.8,0.9218745148828469,0,0,0,1,0.018907278705176316,-0.04634338333895702
87,0.8,0.9753760870098129,0,0,0,1,0.0287285713852823,-0.039521591053012804
88,0.8,1.020503626167941,0,0,0,1,0.035924522340919716,-0.03272182425265446
89,0.8,1.0602202828765808,0,0,0,1,0.03978068539089615,-0.02633507687015898
90,0.8,1.105348215805632,0,1,0,1,0.042032885362232895,-0.02142092760187185
91,0.8,1.1596939802082251,0,1,0,1,0.049348435220729625,-0.02162183717291119
92,0.8,1.151042883037557,0,1,1,0,0.05409656955741817,-0.026995931623258793
93,0.8,1.1092617883254123,0,1,1,0,0.05066937901662048,-0.02569345253343095
94,0.8,1.0725773631949986,0,1,1,0,0.0473961007993199,-0.01938532946233216
95,0.8,1.022988383923111,0,1,1,0,0.04633313303327019,-0.007031139600218381
96,0.8,0.9818208005946903,0,1,1,0,0.049993722576653896,0.01219363375795973
97,0.8,1.0045329490857613,0,1,1,0,0.06262063605174335,0.033474564084120174
98,0.8,1.0282992966748108,0,1,1,0,0.08231992389802377,0.05267980553454155
99,0.8,1.0474514332124842,0,0,1,0,0.10117737074120361,0.07183656537394235
100,0.8,1.0657201206099678,0,0,1,0,0.11511491888579525,0.0917026851164751
101,0.8,1.0497756258519775,1,0,1,0,0.12597814937150043,0.11189586337470346
102,0.8,0.9599229206131845,1,0,0,0,0.12496789940352439,0.12567155862608245
103,0.8,0.9137514277569169,1,0,0,0,0.11745037220461069,0.12603043114607523
104,0.8,0.8721167964933347,1,0,0,0,0.10264125075481853,0.11077444207642445
105,0.8,0.8228418870849811,1,0,0,0,0.08349663429797148,0.08441830330856023
106,0.8,0.7840729332208561,1,0,1,0,0.06220655628313715,0.052628761396988064
107,0.8,0.7377125937218656,1,0,1,0,0.04451547678477518,0.023568528932323148
108,0.8,0.6933120292712945,1,0,1,0,0.03179348050958341,-0.0005225359120818129
109,0.8,0.6620989544374365,0,0,1,1,0.02309900228297154,-0.018471109621119135
110,0.8,0.6524987589596445,0,0,1,1,0.01654754168256836,-0.02969866961781403
111,0.8,0.6626275580620932,0,0,0,1,0.008938403877283708,-0.03793905609008078
112,0.8,0.6693565257412801,0,0,0,1,0.004050291240817836,-0.045656324400205145
113,0.8,0.6664013783410208,0,0,0,1,0.0024279309999552805,-0.050936001890135446
114,0.8,0.6889278812705171,0,0,0,1,0.003193589860189306,-0.05398642448309001
115,0.8,0.7312271382191566,0,0,0,1,0.004888964029222467,-0.05624576618897571
116,0.8,0.7580199520313747,0,0,0,1,0.005816524763494372,-0.054998787961676676
117,0.8,0.7832652286073374,0,0,0,1,0.00464886076430519,-0.04859721294267352
118,0.8,0.8376219943847579,0,0,0,1,-0.0010874166347572412,-0.038007412182080806
119,0.8,0.8893184252230852,0,0,0,1,-0.008961921097820302,-0.025489707771129702
120,0.8,0.9098968428830302,0,0,0,1,-0.017336542806339048,-0.00965981998012546
121,0.8,0.9736489455485255,0,0,0,1,-0.022927920252068933,0.007099904450162984
122,0.8,0.9388828561221548,0,1,0,1,-0.024265213684017836,0.024393421735299844
123,0.8,0.9682851241262811,0,1,0,1,-0.0196110249559342,0.034485387833759144
124,0.8,0.9831921928648547,0,1,0,1,-0.008720922235832993,0.034902708138032146
125,0.8,1.0133745990151775,0,1,0,1,0.006081991193147959,0.029083405323620037
126,0.8,0.9942606590528142,0,1,1,0,0.01899657564540654,0.021201141116409295
127,0.8,0.9479674878065284,0,1,1,0,0.01748562173478803,0.01660605292097397
128,0.8,0.9223818882861886,0,1,1,0,0.015865314416099705,0.01081100673761888
129,0.8,0.8812903366329208,0,1,1,0,0.0158730326981203,0.008020849655564967
130,0.8,0.8627960390809076,0,1,1,0,0.01700857608912107,0.008835009593726486
131,0.8,0.8759592640639565,0,1,1,0,0.019683220589399312,0.010409119783160163
132,0.8,0.8481321971720029,0,1,1,0,0.025172807639616483,0.015265102824442042
133,0.8,0.8414240055706647,0,1,1,0,0.030211287469992618,0.02576231255425099
134,0.8,0.8692220040512302,0,0,1,0,0.03657818072201592,0.03650271133951876
135,0.8,0.8815388456914396,0,0,1,0,0.04154444632782976,0.04636643438610947
136,0.8,0.8855733301822865,0,0,1,0,0.044732151769245804,0.05796990351762654
137,0.8,0.8481475481687213,1,0,1,0,0.04517001042915874,0.06995206802395584
138,0.8,0.8053483056252841,1,0,1,0,0.035363916875241576,0.07299193847934367
139,0.8,0.7968201710220943,1,0,1,0,0.021992171663825784,0.06721828016723484
140,0.8,0.7834792915183805,1,0,1,0,0.006306062137591342,0.053820712279812444
141,0.8,0.7631437949823204,1,0,1,0,-0.010822185521535712,0.03753387096584236
142,0.8,0.7249611438106761,1,0,1,1,-0.022861753346918447,0.0247989785517921
143,0.8,0.7178164896076816,1,0,1,1,-0.02781640556999945,0.01719543090814249
144,0.8,0.7048756118786244,1,0,0,1,-0.029836880243313935,0.00927488130020585
145,0.8,0.6938884102261553,1,0,0,1,-0.028509929077502928,9.767736582724878e-05
146,0.8,0.6684455978146412,1,0,0,1,-0.02317552569471517,-0.009800713209699462
147,0.8,0.6678283971250689,1,0,0,1,-0.017143263766773213,-0.019128866132306833
148,0.8,0.6743209317544705,0,0,0,1,-0.011826783685473899,-0.027835643002076485
149,0.8,0.6899067127849808,0,0,0,1,-0.009629283645859552,-0.0342898838459108
150,0.8,0.7219273918462219,0,0,0,1,-0.009326639229148039,-0.038325829166446376
151,0.8,0.7554942790277098,0,0,0,1,-0.00961996297046817,-0.04099528718885048
152,0.8,0.7908569025278354,0,0,0,1,-0.01149116276241457,-0.04112013008545242
153,0.8,0.8374204206399641,0,0,0,1,-0.016560788750871133,-0.038363402364588794
154,0.8,0.8868318561785825,0,0,0,1,-0.023630572882253606,-0.03333912612804757
155,0.8,0.9265880850940975,0,0,0,1,-0.030858001910034207,-0.026733542624739735
156,0.8,0.9469169388639308,0,0,0,1,-0.03697786067722351,-0.017101060813413563
157,0.8,1.028337073395836,0,0,0,1,-0.03683400317140866,-0.008711451216236737
158,0.8,1.0248091226792135,0,1,0,1,-0.03070323872104199,-0.0020167020604875637
159,0.8,1.0572112423425877,0,1,0,1,-0.02123563748093943,0.0013142356641375852
160,0.8,1.0751216811316235,0,1,0,1,-0.010587554903301776,-0.00045002661541058823
161,0.8,1.015915076935737,0,1,1,0,-0.008141942466489237,-0.00736585648187907
162,0.8,0.9652371089228411,0,1,1,0,-0.013041062566556058,-0.008995351955006926
163,0.8,0.9335106345968381,0,1,1,0,-0.01596351391641211,-0.009602568324497792
164,0.8,0.9037046167764088,0,1,1,0,-0.016977539926454174,-0.010995681216060347
165,0.8,0.8495431928563849,0,1,1,0,-0.015043939802652792,-0.008966351737144196
166,0.8,0.8266455963050793,0,1,1,0,-0.008339856375261539,-0.0028598417762071672
167,0.8,0.8267625459024283,0,1,1,0,-0.0004962443455718053,0.0029519640741508
168,0.8,0.8308062937295598,0,1,1,0,0.008035123021322336,0.008453447978535828
169,0.8,0.8247891679323074,0,0,1,0,0.015438466661319475,0.015659748405574794
170,0.8,0.8444790143779364,0,1,1,0,0.021033997829722276,0.022291675765967914
171,0.8,0.81763329032201,1,1,1,0,0.02405720167778892,0.02745067790553766
172,0.8,0.7011600921874784,1,0,1,0,0.013461502753476363,0.026654170021342773
173,0.8,0.6100450221012622,1,0,1,0,-0.00540671925728993,0.016440601300487044
174,0.8,0.5378932108188602,1,0,1,0,-0.028465717954462386,-0.0014891273360389155
175,0.8,0.49189618179301636,1,0,1,0,-0.05290399395796548,-0.02517500872462125
176,0.8,0.4318538050911589,1,0,1,1,-0.07367935152607356,-0.05022921208069049
177,0.8,0.3895563168299258,1,0,1,1,-0.0815671740710978,-0.06782745654194132
178,0.8,0.3782429058278657,1,0,1,1,-0.08435655094264385,-0.0837342793765552
179,0.8,0.369880773027898,1,0,0,1,-0.08453311003319414,-0.09914405709985646
180,0.8,0.390280209931466,0,0,0,1,-0.08417181285666338,-0.11354624014087954
181,0.8,0.4097147652673771,0,0,0,1,-0.08253801959954353,-0.12971885304688602
